카드종류,신용카드사명,신용카드번호,승인일자,사업자등록번호,거래처명,거래처유형,공급가액,세액,봉사료,합계금액,부가세공제여부,부가세유형,계정과목,품목(적요),수 량,단 가,대표자,업 태,종 목,사업장주소,부서/사원
1,,본인77*,2025/07/15,105-87-65162,쿠팡,,20054,2006,,22060,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/15,105-87-65162,쿠팡,,5927,593,,6520,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,709-01-02698,씨유(CU) 초량센터점,,8727,873,,9600,공제,57,811,"씨유(CU) 초량센터점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/16,533-28-01255,아이슬란드 할인점,,6272,628,,6900,공제,57,811,"아이슬란드 할인점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/16,105-87-65162,쿠팡,,19090,1910,,21000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/16,411-86-01799,우아한형제들(주),,20000,2000,,22000,공제,57,811,"우아한형제들(주) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/17,844-90-01531,이헌영수학원,,377000,0,,377000,공제,58,825,"이헌영수학원 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/17,105-87-65162,쿠팡이츠,,22304,2231,,24535,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/18,104-81-37225,07월 03-6764 SKT요금,,96463,9647,,106110,공제,57,814,"07월 03-6764 SKT요금 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/17,113-81-44055,(주)카카오,,17727,1773,,19500,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/17,815-81-00527,멘토즈부산초량점,,9090,910,,10000,공제,57,811,"멘토즈부산초량점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/18,605-30-88695,대양주유소,,54545,5455,,60000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/18,731-03-01628,진성,,16363,1637,,18000,공제,57,811,"진성 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/19,206-86-50913,(주)이마트 문현점,,45727,4573,,50300,공제,57,811,"(주)이마트 문현점 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/19,313-87-00979,롯데시네마 광복 (온라인 티켓),,27272,2728,,30000,공제,57,811,"롯데시네마 광복 (온라인 티켓) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/20,691-05-00780,세븐일레븐 초량오거리점,,8727,873,,9600,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/20,691-05-00780,세븐일레븐 초량오거리점,,4454,446,,4900,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/19,105-87-65162,쿠팡,,60545,6055,,66600,공제,57,811,"쿠팡 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/18,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/20,313-87-00979,롯데시네마광복(온라인티켓외),,25363,2537,,27900,공제,57,811,"롯데시네마광복(온라인티켓외) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,606-07-41977,무지개반점,,14545,1455,,16000,공제,57,811,"무지개반점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,588-14-01544,아이스 앤 몬스터문구 초량육거리점,,16363,1637,,18000,공제,57,811,"아이스 앤 몬스터문구 초량육거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,691-05-00780,세븐일레븐 초량오거리점,,11636,1164,,12800,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,691-05-00780,세븐일레븐 초량오거리점,,5000,500,,5500,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,105-87-65162,쿠팡,,47209,4721,,51930,공제,57,811,"쿠팡 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/21,105-87-65162,쿠팡,,10363,1037,,11400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,105-87-65162,쿠팡이츠,,18181,1819,,20000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,411-86-01799,카페24 주식회사,,21363,2137,,23500,공제,57,811,"카페24 주식회사 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/21,313-87-00979,롯데시네마광복(온라인티켓외),,10727,1073,,11800,공제,57,811,"롯데시네마광복(온라인티켓외) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/22,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/22,460-04-01612,CU 뉴범천한라점,,43636,4364,,48000,공제,57,811,"CU 뉴범천한라점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/22,113-85-21083,에스케이텔레콤(주),,31009,3101,,34110,공제,57,814,"에스케이텔레콤(주) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/23,105-87-65162,쿠팡이츠,,15454,1546,,17000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/23,220-81-55597,(주)우아한형제들,,32727,3273,,36000,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/23,815-81-00527,에이블리코퍼레이션,,77809,7781,,85590,공제,57,811,"에이블리코퍼레이션 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/25,404-85-11763,(주)푸드엔 서면지점,,20954,2096,,23050,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/25,605-30-88695,대양주유소,,45454,4546,,50000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/25,220-82-01439,국세(전용단말기납부),,896656,0,,896656,공제,58,817,"국세(전용단말기납부) 카드사용 (할부5개월)",,,,,,,,
1,,본인77*,2025/07/25,691-05-00780,세븐일레븐 초량오거리점,,4363,437,,4800,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
